lat,lon,stat_ID
45.5494849,-73.6543026,SAUV
48.558674,-67.689528,SAYA
48.392294,-77.244388,SENN
46.54982209,-72.74526363,SHWN
46.940241,-81.797855,SHEA
48.2959004,-76.82965018,SIGN
47.14846329,-81.96057112,SNKR
44.912455,-76.024023,SMTF
45.34590993,-80.03788636,SPAR
43.14766432,-79.25637728,SCAT
43.26040072,-81.13639017,SMYS
47.441409,-72.249148,STAD
48.030046,-74.865886,STRN
46.804797,-81.680016,STRL
43.36437344,-80.97574139,STRF
42.95468221,-81.62291953,STRR
46.48737212,-80.99221868,SUDB
46.52461028,-80.90208618,SUDJ
47.594677,-82.772959,SULT
47.788379,-72.185186,SMQU
48.48282148,-84.53484513,SWAN
47.968028,-74.764449,TIMB
43.64481,-79.38032,TRTO
44.11525231,-77.59880558,TRNJ
48.12700184,-69.17329568,TPIS
47.935897,-72.149757,VBRU
47.859472,-73.558316,VDRY
44.748362,-79.334872,WSHG
47.418601,-81.547963,WSTR
47.897887,-73.775387,WYMT
48.589888,-85.282991,WHTR
47.853405,-73.468078,WGWC
47.77122,-73.334097,WNDG
42.324933,-83.007134,WDON
47.511624,-82.628067,WOMR
43.126528,-80.752123,WDST
42.94796,-82.12226,WYOM
